source,loss,metric,mcs_a,mcs_b,n_targets,n_methods,kendall_tau,bootstrap_ci_low,bootstrap_ci_high
lin2,MSE+AC,f1_test,50,55,349,6,0.9999999999999999,0.8657019667802706,0.9999999999999999
lin2,MSE+AC,f1_test,50,60,349,6,0.8666666666666666,0.7333333333333333,0.9999999999999999
lin2,MSE+AC,f1_test,50,65,349,6,0.7333333333333333,0.6,0.9999999999999999
lin2,MSE+AC,f1_test,50,70,348,6,0.7333333333333333,0.4666666666666666,0.8666666666666666
lin2,MSE+AC,f1_test,50,75,345,6,0.6,0.3333333333333333,0.8666666666666666
lin2,MSE+AC,f1_test,50,80,342,6,0.6,0.3333333333333333,0.8666666666666666
lin2,MSE+AC,f1_test,50,85,332,6,0.4666666666666666,0.2,0.7333333333333333
lin2,MSE+AC,f1_test,50,90,308,6,0.3333333333333333,0.06666666666666665,0.7333333333333333
lin2,MSE+AC,f1_test,50,95,233,6,0.41403933560541256,0.06666666666666665,0.7887351691875615
lin2,MSE+AC,global_dir_test,50,55,349,6,0.9999999999999999,0.9999999999999999,0.9999999999999999
lin2,MSE+AC,global_dir_test,50,60,349,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+AC,global_dir_test,50,65,349,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+AC,global_dir_test,50,70,349,6,0.9660917830792959,0.8666666666666666,0.9999999999999999
lin2,MSE+AC,global_dir_test,50,75,346,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+AC,global_dir_test,50,80,343,6,0.8666666666666666,0.7333333333333333,0.9999999999999999
lin2,MSE+AC,global_dir_test,50,85,334,6,0.8666666666666666,0.7333333333333333,0.9999999999999999
lin2,MSE+AC,global_dir_test,50,90,311,6,0.8666666666666666,0.5520524474738833,0.9309493362512627
lin2,MSE+AC,global_dir_test,50,95,238,6,0.7453559924999299,0.3333333333333333,0.9660917830792959
lin2,MSE+AC,local_dir_test,50,55,349,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+AC,local_dir_test,50,60,349,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+AC,local_dir_test,50,65,349,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+AC,local_dir_test,50,70,348,6,0.9999999999999999,0.7333333333333333,0.9999999999999999
lin2,MSE+AC,local_dir_test,50,75,345,6,0.9999999999999999,0.7333333333333333,0.9999999999999999
lin2,MSE+AC,local_dir_test,50,80,342,6,0.9999999999999999,0.6,0.9999999999999999
lin2,MSE+AC,local_dir_test,50,85,332,6,0.8666666666666666,0.6,0.9999999999999999
lin2,MSE+AC,local_dir_test,50,90,308,6,0.6,0.6,0.9999999999999999
lin2,MSE+AC,local_dir_test,50,95,233,6,0.894427190999916,0.4666666666666666,0.9660917830792959
lin2,MSE+UCN,acc_test,50,55,349,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+UCN,acc_test,50,60,349,6,0.8666666666666666,0.8666666666666666,0.9999999999999999
lin2,MSE+UCN,acc_test,50,65,349,6,0.8666666666666666,0.7333333333333333,0.9999999999999999
lin2,MSE+UCN,acc_test,50,70,348,6,0.8666666666666666,0.7333333333333333,0.9999999999999999
lin2,MSE+UCN,acc_test,50,75,345,6,0.8666666666666666,0.7333333333333333,0.9999999999999999
lin2,MSE+UCN,acc_test,50,80,342,6,0.8666666666666666,0.7333333333333333,0.9999999999999999
lin2,MSE+UCN,acc_test,50,85,332,6,0.8666666666666666,0.7333333333333333,0.9999999999999999
lin2,MSE+UCN,acc_test,50,90,308,6,0.9999999999999999,0.7333333333333333,0.9999999999999999
lin2,MSE+UCN,acc_test,50,95,233,6,0.8563488385776752,0.5520524474738833,0.9999999999999999
lin2,MSE+UCN,f1_test,50,55,349,6,0.9999999999999999,0.7333333333333333,0.9999999999999999
lin2,MSE+UCN,f1_test,50,60,349,6,0.8666666666666666,0.6,0.9999999999999999
lin2,MSE+UCN,f1_test,50,65,349,6,0.7333333333333333,0.4666666666666666,0.9999999999999999
lin2,MSE+UCN,f1_test,50,70,348,6,0.7333333333333333,0.4633333333333335,0.8666666666666666
lin2,MSE+UCN,f1_test,50,75,345,6,0.6,0.3333333333333333,0.8666666666666666
lin2,MSE+UCN,f1_test,50,80,342,6,0.6,0.3333333333333333,0.8666666666666666
lin2,MSE+UCN,f1_test,50,85,332,6,0.6,0.3333333333333333,0.7333333333333333
lin2,MSE+UCN,f1_test,50,90,308,6,0.6,0.2,0.7333333333333333
lin2,MSE+UCN,f1_test,50,95,233,6,0.7006490497453707,0.27602622373694163,0.8280786712108251
lin2,MSE+UCN,global_dir_test,50,55,349,6,0.9999999999999999,0.9999999999999999,0.9999999999999999
lin2,MSE+UCN,global_dir_test,50,60,349,6,0.9999999999999999,0.9999999999999999,0.9999999999999999
lin2,MSE+UCN,global_dir_test,50,65,349,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+UCN,global_dir_test,50,70,349,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+UCN,global_dir_test,50,75,346,6,0.9999999999999999,0.9660917830792959,0.9999999999999999
lin2,MSE+UCN,global_dir_test,50,80,343,6,0.9999999999999999,0.9999999999999999,0.9999999999999999
lin2,MSE+UCN,global_dir_test,50,85,334,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+UCN,global_dir_test,50,90,311,6,0.9660917830792959,0.8280786712108251,0.9999999999999999
lin2,MSE+UCN,global_dir_test,50,95,238,6,0.8666666666666666,0.7333333333333333,0.9999999999999999
lin2,MSE+UCN,local_dir_test,50,55,349,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+UCN,local_dir_test,50,60,349,6,0.9999999999999999,0.8280786712108251,0.9999999999999999
lin2,MSE+UCN,local_dir_test,50,65,349,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+UCN,local_dir_test,50,70,348,6,0.9999999999999999,0.7333333333333333,0.9999999999999999
lin2,MSE+UCN,local_dir_test,50,75,345,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+UCN,local_dir_test,50,80,342,6,0.9999999999999999,0.8666666666666666,0.9999999999999999
lin2,MSE+UCN,local_dir_test,50,85,332,6,0.9999999999999999,0.7333333333333333,0.9999999999999999
lin2,MSE+UCN,local_dir_test,50,90,308,6,0.9999999999999999,0.7333333333333333,0.9999999999999999
lin2,MSE+UCN,local_dir_test,50,95,233,6,0.9309493362512627,0.7333333333333333,0.9999999999999999
